	Beta	Alpha 0	Time to increase risk	Time to reduce risk	Patient Zero Arrival Time	alp[Infection]	alpratio	cum_deaths	IFR	SFrac_mdl	RS_corr	RS_corr_p	avg_Re_180	avg_Outputs[Death]_180	avg_Sensitivity Alpha_180	maeom_0	r2_0	maeom_1	r2_1	maeom	r2	maeom_nbr_0	r2_nbr_0	maeom_nbr_1	r2_nbr_1	maeom_nbr	r2_nbr	nbr_Re_180	nbr_Outputs[Death]_180	nbr_Sensitivity Alpha_180	R0_est	population	gdp_per_capita	hosp_beds	median_age	hist_deaths_180	hist_Re_180	hist_str_180	hist_dpm_180	next_deaths_180	next_Re_180	next_str_180	next_dpm_180	mob_avg	mob_rr	mob_wk	total_deaths	people_vaccinated_per_hundred	people_fully_vaccinated_per_hundred	cumulative_excess_mortality	excess_mortality_fraction	em_100	em_50	em_25	alp[Death]	avg_dpm_180	hist_dpm_norm	avg_dpm_norm	next_dpm_norm	g_D_180	marginal	half_contact_dpm
AFG	4.0	1.51448	1.0	32.4033	103.221	1.0	0.6	54807.7	0.00177224	0.180768	-0.3129068731106877	3.203243500680172e-06	0.8807257666666667	228.3611777777777	1.514479999999997	0.22093156517039353	0.7363612352234739	0.9781327075312469	0.1849656609191682	0.5995321363508203	0.46066344807132104	0.7279897720233929	0.30511210148973633	1.5654984413365656	0.1891744465133658	1.1467441066799793	0.24714327400155106	0.19266640277777775	276.10818905672227	9.999999999999976e-10	1.51	41128772.0	1803.9870000000033	0.5	18.600000000000087	126.32955555555556	1.0196111111111108	14.673444444444414	3.071561571436064	582.9421666666673	1.0378888888888884	36.96500000000013	14.173585505219247	16.205938888888888	35.25157222222221	-2.8396944444444467	2484.0			23796.509806841997	9.579915381176326	False	False	False	0.6	5.552346123482065	9.53467752684758	17.235477321098426	43.997349246781845	0.1062821558851055	0.3976965416308744	0.6602926416988022
AGO	1.27215	0.949483	3.17065	11.2747	88.2037	1.0	0.6	36503.3	0.00163968	0.290165	0.20460219401152402	0.002697104510582036	0.9770638499999997	193.96152222222227	0.9494829999999971	0.14549525946412734	0.9451924826334551	2.409372565703224	0.19947759168959847	1.2774339125836758	0.5723350371615268	0.4023949163774715	0.4213957397932727	3.637908912522979	0.26441865019647537	2.020151914450225	0.34290719499487404	1.081799283333334	269.8726194444446	9.999999999999976e-10	0.74	35588996.0	5819.495000000049		16.800000000000104	60.478166666666716	0.9969444444444442	62.574222222222176	1.6993501774162645	165.3785	1.079222222222222	53.88905555555532	4.646899845109425	-13.463094444444444	-9.251583333333336	-17.674605555555555	537.0			7623.005505378892	14.195540978359206	False	False	False	0.6	5.450041979892387	5.701552138790337	18.285635838869783	15.590984190739965	0.16195060540715536	0.5129565120598648	1.0532047440554524
ALB	0.293599	0.001	100.0	35.73	20.7873	1.0	0.6	14286.0	0.00789558	0.296487	0.5457809964366571	6.2256425917250054e-18	1.2915195444444436	79.46583466666665	0.0010000000000000007	0.2400436760106274	0.8625604415019845	3.0517717007200864	0.40703237500322326	1.645907688365357	0.6347964082526039	0.23465742727322292	0.8690067264800171	3.0847898436290855	0.41508262974581733	1.6597236354511542	0.6420446781129172	1.287310727777778	80.12599466666668	9.999999999999976e-10	1.15	2842318.0	11803.430999999959	2.8899999999999886	38.0	47.51750000000001	1.0445000000000004	59.49811111111106	16.717869006916185	10.759333333333332	1.0463888888888886	44.85122222222231	3.7854080132248864				2235.0			10410.977109030555	4.6581553060539385	False	False	False	0.6	27.958108370233962	11.64839791848545	19.480184418833247	2.637533456185429	0.9728022882035923	0.9990009990009991	999.9999999999993
ARE	3.4288	7.92071	4.02488	48.3925	102.196	1.0	0.477249	2476.58	0.00167409	0.832026	0.00992867828587815	0.8854569150925198	1.0316446500000005	9.850518555555551	7.920710000000021	0.16712560516337138	0.9371831495809053	0.7314138298444808	0.1502265641050111	0.4492697175039261	0.5437048568429582	0.3642767622882525	0.383732567702889	5.23685792390895	0.28974345243741917	2.800567343098601	0.3367380100701541	0.9488273388888891	57.4594277777778	9.999999999999976e-10	1.49	9441138.0	67293.48299999943	1.1999999999999929	34.0	23.820444444444426	1.0333888888888896	53.37527777777776	2.523048010149245	13.2527222222222	0.9379999999999992	52.66483333333333	1.4037208461757682	-17.980958333333334	-16.954749999999994	-19.007166666666667	1497.0			3652.5038571198997	2.4398823360854376	False	False	False	0.477249	1.043361357026616	8.291174026062631	3.4286666557188608	4.612870533116308	0.10794283614069196	0.11209870066396034	0.1262513082791817
ARG	3.9295	0.746926	1.0	10.1685	103.529	1.0	0.6	201146.0	0.00654161	0.28480900000000003	0.02871982631136187	0.6768454945551161	0.9590978222222214	1006.597161111111	0.7469260000000013	0.21048151773421286	0.8003630622930175	3.8413710952598388	0.10449749873882896	2.0259263064970257	0.4524302805159232	0.5379258021908163	0.30295345402248675	5.063214040187393	0.42225056418499535	2.800569921189105	0.3626020091037411	1.3950526555555556	1390.7366308888888	9.999999999999976e-10	2.38	45510324.0	18933.90699999991	5.0	31.8999999999998	212.49666666666656	0.9996666666666668	78.74594444444449	4.669196964334216	356.76316666666673	0.9411666666666668	75.86372222222221	7.839170001660871	-27.509119444444448	-39.679355555555546	-15.33888333333333	55858.0	7.84	1.56	55610.890706478014	0.9955761163392534	True	True	True	0.6	22.11799593233199	3.9266922403951647	18.600749478762655	6.592570039728345	0.0570759763951236	0.572434092800725	1.3388207131630152
ARM	0.341793	0.001	100.0	400.0	80.1442	1.0	0.6	15284.4	0.00721526	0.188857			1.6939857333333335	85.47004769777779	0.0010000000000000007	0.5365115546886547	0.3809546539458715	2.872548190554218	0.4578957244989092	1.7045298726214364	0.41942518922239036	0.5233574822317111	0.3897585521679932	2.87930700415066	0.4491404674023554	1.7013322431911857	0.4194495097851743	1.6725665222222226	85.93587844333334	9.999999999999976e-10	1.38	2780472.0	8787.580000000042	4.200000000000026	35.70000000000014	32.11227777777777	1.0501111111111112		11.54921818230062	22.033611111111146	1.002777777777778		7.924413952419281				3515.0	0.02		6037.456990694958	1.7176264553897462	True	False	False	0.6	30.73940241001448	8.80582233323844	23.437579235219545	6.042052393380237	0.9701773286844945	0.9990009990009991	999.9999999999993
AUS	0.506623	3.74364	34.0659	400.0	65.7374	0.996493	0.6	3596.59	0.00903903	0.984332	-0.21880448788245827	0.001310890480752919	0.8283423499999999	19.38683255555556	3.743640000000017	0.3872505428966214	0.857522858946507	3.3836757485311413	0.0075086081786838845	1.8854631457138813	0.4325157335625955	0.4397341025666811	0.8760631006983559	255.98660303172736	0.43361541624184924	128.21316856714702	0.6548392584701026	0.9611832055555553	1213.4046673333332	9.999999999999976e-10	2.18	26177410.0	44648.71000000038	3.839999999999992	37.89999999999978	0.08888888888888889	0.9949444444444442	61.774111111110976	0.003395633444595508	2.0	1.2140555555555557	61.22022222222238	0.07640175250339892	-12.776977777777775	-10.948422222222225	-14.605533333333332	909.0	2.57	0.28	-2650.974157299761	-2.916363209350672	True	True	True	0.5978958	0.7405939913671964	0.0020666564745978693	0.45074163400744116	0.04649977067845206	0.26507499453817146	0.21080857737939565	0.26711970168071597
AUT	3.56496	0.52836	21.3967	45.0815	106.169	1.0	0.6	57583.8	0.011210600000000001	0.38806799999999997	0.22143184225066095	0.0011413181499807796	0.9795163499999999	188.3707644444445	0.5283600000000016	0.11164492859705523	0.990359948445858	13.022947988783173	0.003761729484172188	6.567296458690114	0.4970608389650151	0.6403915177964797	0.7883936762701758	21.310311786924057	0.04923535992396048	10.975351652360269	0.4188145180970681	1.796876044444444	508.5715464327777	9.999999999999976e-10	2.8	8939617.0	45436.68600000027	7.369999999999938	44.399999999999764	71.8082222222222	1.0615555555555554	73.48977777777773	8.032583747404637	14.452111111111153	0.9881666666666662	59.62338888888888	1.6166364969675049	-39.66348333333333	-48.14285555555556	-31.18411111111111	11404.0			8566.199250938156	0.7511574229163588	True	True	True	0.6	21.071458032759626	3.941810332326647	10.340345473217901	0.7933281055951443	0.08241770310389292	0.6542961082467476	1.8926489514724751
AZE	0.277876	0.001	100.0	250.446	8.07512	1.0	0.6	22408.2	0.00445284	0.363976	0.7282289223876807	1.7807544601277754e-36	1.4049685722222227	125.67936516666663	0.0010000000000000007	0.19567975700181328	0.9663466717878497	2.51543344468146	0.6042892926111778	1.3555566008416366	0.7853179821995138	0.19248832042552547	0.9671205247666402	2.5145106641324415	0.6048923699638997	1.3534994922789836	0.7860064473652699	1.3993221722222227	126.04349366666668	9.999999999999976e-10	1.72	10358078.0	15847.419000000036	4.700000000000029	32.3999999999998	90.86705555555565	1.1112777777777774	72.40638888888898	8.772578808110506	88.91144444444453	1.0268888888888892	65.37722222222224	8.583778230328495				3567.0			13526.632763586722	3.7921594515241717	False	False	False	0.6	12.133463869133504	10.83825853525124	14.99053142961998	10.605001072609307	0.9880119921904861	0.9990009990009991	999.9999999999993
BEL	0.266008	0.001	100.0	144.085	1.02612	1.0	0.6	91260.2	0.011053700000000001	0.257954	0.30516415030996247	5.727999446649556e-06	1.1539178111111106	502.8132377777781	0.0010000000000000007	0.31557984734632966	0.8654704617732822	8.681690060653112	0.009417736748135659	4.498634953999721	0.43744409926070893	0.3265486719966353	0.8669536663124423	8.955485724228607	0.020213953865224607	4.641017198112621	0.44358381008883346	1.1442744666666662	517.6104677777776	9.999999999999976e-10	2.43	11655923.0	42658.575999999826	5.6400000000000405	41.79999999999977	76.71061111111118	1.0386666666666666	60.49416666666638	6.581255822564304	15.123611111111119	1.0272777777777788	52.268777777777814	1.297504377054577	-33.36985277777778	-39.542083333333345	-27.19762222222223	23016.0	12.33	4.89	17005.538951307844	0.7388572710856728	True	True	True	0.6	43.13800269423349	3.275445801227126	21.46948752754869	0.6457590129418962	0.9586459293182531	0.9990009990009991	999.9999999999993
