	Beta	Alpha 0	Time to increase risk	Time to reduce risk	Patient Zero Arrival Time	alp[Infection]	alpratio	cum_deaths	IFR	SFrac_mdl	RS_corr	RS_corr_p	avg_Re_180	avg_Outputs[Death]_180	avg_Sensitivity Alpha_180	maeom_0	r2_0	maeom_1	r2_1	maeom	r2	maeom_nbr_0	r2_nbr_0	maeom_nbr_1	r2_nbr_1	maeom_nbr	r2_nbr	nbr_Re_180	nbr_Outputs[Death]_180	nbr_Sensitivity Alpha_180	R0_est	population	gdp_per_capita	hosp_beds	median_age	hist_deaths_180	hist_Re_180	hist_str_180	hist_dpm_180	next_deaths_180	next_Re_180	next_str_180	next_dpm_180	mob_avg	mob_rr	mob_wk	total_deaths	people_vaccinated_per_hundred	people_fully_vaccinated_per_hundred	cumulative_excess_mortality	excess_mortality_fraction	em_100	em_50	em_25	alp[Death]	avg_dpm_180	hist_dpm_norm	avg_dpm_norm	next_dpm_norm	g_D_180	marginal	half_contact_dpm
AFG	0.376246	13.2926	42.2316	29.3107	25.2452	0.116382	0.6	2442.55	0.00177224	0.9639260000000001	0.3571601771950594	1.753143338963941e-12	1.0133307944444445	6.407757444444442	13.292600000000025	0.18219412844914085	0.9573457578639005	0.5270498042568017	0.45785171267175534	0.3546219663529713	0.7075987352678279	0.9808335105740662	0.7966981351678957	21.421058836803695	0.06917387805626316	11.20094617368888	0.4329360066120794	0.4639142444444441	60.26487116666671	9.999999999999976e-10	1.51	41128772.0	1803.987	0.5	18.600000000000108	5.621400000000002	1.0196111111111108	14.673444444444414	0.13667804134779427	26.261066666666654	1.0378888888888884	36.96500000000013	0.6385084063941092	16.205938888888888	35.25157222222221	-2.8396944444444467	2484.0			23796.509806841997	9.579915381176326	False	False	False	0.0698292	0.15579744137375273	0.4455431067043525	0.5078685307584797	2.0814098317210608	0.3256318079321736	0.06996627625484504	0.07522982712185713
AGO	0.444608	65.4737	24.0982	400.0	89.7446	0.0496423	1e-06	520.487	0.00163968	0.989984	0.5445737356030088	5.030410207987815e-24	0.9548660111111109	2.0385343888888876	65.4737	0.2101044364498058	0.8381355367855946	0.3023842084945006	0.5154623546748682	0.25624432247215323	0.6767989457302315	0.7199836825259639	0.8047729481331661	92.60505464616337	0.03329987793466294	46.662519164344666	0.41903641303391453	0.8224403388888889	272.47902492777774	9.999999999999976e-10	0.74	35588996.0	5819.495000000042		16.800000000000093	1.9752569832402245	0.9969444444444442	62.574222222222176	0.05550190242063093	5.192855555555552	1.079222222222222	53.88905555555532	0.14591183059942328	-13.463094444444444	-9.251583333333336	-17.674605555555555	537.0			7623.005505378892	14.195540978359206	False	False	False	4.96423e-08	0.057279907218761875	0.19555201118866875	0.2018165246380017	0.5140968270545491	0.21051180327110547	0.015043543536767174	0.015273308213832425
ALB	0.305299	0.193098	1.0	92.0144	19.2008	0.21655	0.6	3976.53	0.00789558	0.819534	0.7691628769549567	6.016131642247727e-74	1.0168724499999995	16.540900999999995	0.19309799999999935	0.1640623939363159	0.9322029839339769	0.8968249812595057	0.5116237778889144	0.5304436875979108	0.7219133809114457	0.5120894225887876	0.4350222891322011	7.56354964770601	0.14254650629843468	4.037819535147399	0.2887843977153179	1.084212972222222	101.56461922222215	9.999999999999976e-10	1.15	2842318.0	11803.430999999951	2.8899999999999935	38.0	10.149244444444449	1.0445000000000004	59.49811111111106	3.5707631744387682	2.2833500000000013	1.0463888888888886	44.85122222222231	0.8033407943797991				2235.0			10410.977109030555	4.6581553060539385	False	False	False	0.12993	5.819511046969408	2.612705898036402	4.258101165864844	0.5877996184777059	0.4708683312328282	0.8381541164263124	5.178717542387821
ARE	1.18335	4.51512	1.0	60.8319	59.7707	0.199338	0.6	2798.31	0.00167409	0.821469	0.19552589291756758	0.0001330408139692976	1.1053302833333336	10.100416499999994	4.515120000000016	0.19378818415209378	0.8970977631677285	1.0380105711086065	0.3944543480016175	0.6158993776303502	0.645776055584673	0.23195918088007647	0.8759576873638714	6.948179562129933	0.20984079498986136	3.5900693715050047	0.5428992411768664	0.9242952499999989	12.720023722222216	9.999999999999976e-10	1.49	9441138.0	67293.48299999938	1.1999999999999924	34.0	5.916638888888889	1.0333888888888896	53.37527777777776	0.6266870465074114	3.3563277777777767	0.9379999999999992	52.66483333333333	0.3555003409311225	-17.980958333333334	-16.954749999999994	-19.007166666666667	1497.0			3652.5038571198997	2.4398823360854376	False	False	False	0.11960279999999998	1.0698304060379156	2.162645981334278	3.6918976404912103	1.2268027366488188	0.17151444637212093	0.18131971743135183	0.2214780559542153
ARG	0.305072	0.263153	1.0	10.0	1.0152	0.29196	0.6	66176.8	0.00654161	0.771656	0.7004044793502093	1.383822458565891e-56	0.9502182500000004	252.64246666666654	0.2631530000000007	0.19229055814321297	0.8556515291979759	0.5867059832702198	0.264948384790856	0.3894982707067164	0.5602999569944159	0.5819981988962277	0.5634039091637252	4.141073791565313	0.29193430216651906	2.3615359952307706	0.4276691056651221	0.6266851444444449	1362.3281525555553	9.999999999999976e-10	2.38	45510324.0	18933.90699999988	5.0	31.899999999999785	211.58810555555542	0.9996666666666668	78.74594444444449	4.6492331180844895	329.50715555555547	0.9411666666666668	75.86372222222221	7.240272680887867	-27.509119444444448	-39.679355555555546	-15.33888333333333	55858.0	7.84	1.56	55610.890706478014	0.9955761163392534	True	True	True	0.175176	5.551322083900491	4.105917235278186	4.90258682323471	6.3941642919422765	0.4063641402647503	0.791669734386887	3.8000706813146623
ARM	1.59082	1.15058	21.6758	58.153	64.1913	0.81511	0.6	7265.02	0.00721526	0.653546			1.000094611111111	21.1908938888889	1.150579999999998	0.2545491885661442	0.8920190042969852	1.1864924942682085	0.004759688051302716	0.7205208414171763	0.44838934617414394	0.34999292940136834	0.7077653636027519	3.7256339893099413	0.058162865006070576	2.0378134593556547	0.38296411430441124	0.7181184555555562	45.69151722222223	9.999999999999976e-10	1.38	2780472.0	8787.580000000045	4.200000000000029	35.70000000000021	13.928561111111105	1.0501111111111112		5.009423260191473	9.730166666666667	1.002777777777778		3.4994657981330755				3515.0	0.02		6037.456990694958	1.7176264553897462	True	False	False	0.489066	7.6213297198781005	4.01096857435441	6.102282121805763	2.8019687325848643	0.10236515143968597	0.46499083968045873	0.8691268751412347
AUS	0.417907	5.94127	100.0	400.0	17.014	0.535078	0.6	3355.77	0.00903903	0.98539	-0.21527175560085787	2.0419431945330844e-05	0.9296326222222224	1.0931767722222228	5.94127000000001	0.5700837292768914	0.5380255590791027	3.383687844926383	0.0012039234493581353	1.9768857871016374	0.2696147412642304	1.1100755070695731	0.09132309355546604	244.09963848222958	0.022749236905992017	122.60485699464958	0.05703616523072903	0.10338482888888884	0.14309395257989427	9.999999999999976e-10	2.18	26177410.0	44648.71000000044	3.8399999999999817	37.89999999999976	0.14048888888888902	0.9949444444444442	61.774111111110976	0.0053667986591832036	1.7423988764044944	1.2140555555555557	61.22022222222238	0.06656116385862827	-12.776977777777775	-10.948422222222225	-14.605533333333332	909.0	2.57	0.28	-2650.974157299761	-2.916363209350672	True	True	True	0.3210468	0.041760310596893384	0.0034301016588833767	0.02669042007170988	0.0425414801388202	0.8012118935349487	0.14406585538381284	0.16831418198465956
AUT	4.0	1.12586	20.5918	58.1197	63.1817	1.0	0.6	55885.9	0.011210600000000001	0.43789300000000003	-0.014984435863783502	0.7694638376278183	0.9463716277777781	144.80024222222224	1.1258599999999972	0.2807753294218597	0.8408483476752414	3.9607527050082565	0.01591610416612362	2.120764017215058	0.42838222592068254	0.6359534311500398	0.763176732818043	6.504255951177851	0.42206018797254746	3.5701046911639454	0.5926184603952952	1.1298192444444446	458.13656722222214	9.999999999999976e-10	2.8	8939617.0	45436.68600000032	7.369999999999932	44.39999999999981	57.30313333333334	1.0615555555555554	73.48977777777773	6.410021070626778	11.844438888888892	0.9881666666666662	59.62338888888888	1.3249380693701855	-39.66348333333333	-48.14285555555556	-31.18411111111111	11404.0			8566.199250938156	0.7511574229163588	True	True	True	0.6	16.197589026713587	3.303270332336775	8.347088831346841	0.6827791310686202	0.0519852718320109	0.47039786251211335	0.8882099017639871
AZE	0.92274	2.53816	13.1288	115.938	63.0641	0.713439	0.6	5690.03	0.00445284	0.870833	0.15383784271282494	0.0030489617313970135	1.0998468888888886	19.848795777777767	2.538160000000004	0.31141453482743486	0.8986632557022655	0.9033929519584138	0.32976710319490005	0.6074037433929244	0.6142151794485827	0.4359140942416526	0.8244678327739698	9.077006074286473	0.0174880407812531	4.756460084264063	0.42097793677761147	0.7071575944444443	67.638139	9.999999999999976e-10	1.72	10358078.0	15847.419000000009	4.7000000000000295	32.399999999999785	16.120661111111115	1.1112777777777774	72.40638888888898	1.5563371033806768	16.23731666666667	1.0268888888888892	65.37722222222224	1.5675993815326232				3567.0			13526.632763586722	3.7921594515241717	False	False	False	0.42806340000000004	1.916262435731587	2.019203534093968	2.486173383694179	2.033815298985367	0.17053843881993175	0.28263278088045735	0.39398619472373625
BEL	3.27239	0.96692	12.2015	83.0766	59.1189	0.938324	0.6	60705.4	0.011053700000000001	0.516414	-0.4365180884586944	1.5781746564989363e-19	1.068332616666667	186.07300888888886	0.9669199999999978	0.2564046434731249	0.9276849890165337	1.6428714172706687	0.6484039031226613	0.9496380303718968	0.7880444460695974	0.6395389754885884	0.7117754343859949	4.630480412779189	0.05647640617151649	2.6350096941338887	0.3841259202787557	0.949350627777778	599.7547955555556	9.999999999999976e-10	2.43	11655923.0	42658.575999999775	5.6400000000000325	41.799999999999706	71.68256111111111	1.0386666666666666	60.49416666666638	6.149882863082667	14.676166666666663	1.0272777777777788	52.268777777777814	1.2591166453884999	-33.36985277777778	-39.542083333333345	-27.19762222222223	23016.0	12.33	4.89	17005.538951307844	0.7388572710856728	True	True	True	0.5629944	15.963815897624656	3.2141984477524095	8.343390178431871	0.65806956933133	0.06084304290217153	0.5084090862871907	1.0342117238241035
